permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
22-09130223,SOLAR PV SYSTEM,2023-03-27,2022-06-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-04-17,0,35740,8M SOLAR,GENERAL CONTRACTOR,27587,27519,40280.13,Cary,27519
22-09141555,SOLAR PV SYSTEM,2022-06-13,2022-06-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2024-02-01,0,73692,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,83053.25,Cary,27519
22-09150761,SOLAR PV SYSTEM,2022-06-21,2022-06-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-07-25,0,52987,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,59718.05,Cary,27519
22-09161649,SOLAR PV SYSTEM,2022-08-08,2022-06-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-01,0,8600,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,9692.48,Cary,27519
22-09170492,SOLAR PV SYSTEM,2022-11-07,2022-06-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-05-04,0,33632,"MARC JONES CONSTRUCTION, LLC",GENERAL CONTRACTOR,70433,27607,37904.34,Raleigh,27607
22-09181517,SOLAR PV SYSTEM,2022-07-06,2022-06-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-11-06,0,34632,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27539,39031.37,Apex,27539
22-09190107,SOLAR PV SYSTEM,2022-06-28,2022-06-15,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-07-15,0,27200,8M SOLAR,GENERAL CONTRACTOR,27587,27519,30655.27,Cary,27519
22-09201059,SOLAR PV SYSTEM,2022-07-19,2022-06-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-07-27,0,13961,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27523,15734.49,Apex,27523
22-09211217,SOLAR PV SYSTEM,2022-07-05,2022-06-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-07-12,0,14910,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,16804.05,Cary,27519
22-09221175,SOLAR PV SYSTEM,2022-08-11,2022-06-16,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-17,0,19345,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,21802.44,Cary,27513
22-09230270,SOLAR PV SYSTEM,2022-06-30,2022-06-17,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-07-19,0,29100,8M SOLAR,GENERAL CONTRACTOR,27587,27519,32796.63,Cary,27519
22-09240652,SOLAR PV SYSTEM,2022-07-25,2022-06-17,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-22,0,24465,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,27572.84,Cary,27519
22-09251176,SOLAR PV SYSTEM,2022-08-17,2022-06-17,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-02,0,25584,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27606,28833.99,Raleigh,27606
22-09260493,SOLAR PV SYSTEM,2022-10-18,2022-06-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-05-04,0,56898,"MARC JONES CONSTRUCTION, LLC",GENERAL CONTRACTOR,70433,27518,64125.87,Cary,27518
22-09271541,SOLAR PV SYSTEM,2022-07-05,2022-06-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-07-27,0,72961,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27511,82229.39,Cary,27511
22-09280028,SOLAR PV SYSTEM,2022-06-28,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-11,0,28500,8M SOLAR,GENERAL CONTRACTOR,27587,27513,32120.41,Cary,27513
22-09290189,SOLAR PV SYSTEM,2022-07-01,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-13,0,27160,8M SOLAR,GENERAL CONTRACTOR,27587,27523,30610.19,Apex,27523
22-09300320,SOLAR PV SYSTEM,2022-07-01,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-13,0,46619,8M SOLAR,GENERAL CONTRACTOR,27587,27540,52541.11,Cary,27518
22-09310768,SOLAR PV SYSTEM,2022-08-11,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-13,0,8000,COVENANT SOLAR TECH LLC,GENERAL CONTRACTOR,27704,27519,9016.26,Cary,27519
22-09321060,SOLAR PV SYSTEM,2022-08-12,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-24,0,17100,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,33172,19272.25,Apex,27539
22-09331218,SOLAR PV SYSTEM,2022-06-30,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-23,0,14834,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,16718.39,Cary,27519
22-09341454,SOLAR PV SYSTEM,2022-07-28,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-25,0,31755,RENU ENERGY SOLUTIONS LLC,GENERAL CONTRACTOR,28217,27519,35788.9,Cary,27519
22-09351650,SOLAR PV SYSTEM,2022-07-01,2022-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-28,0,15800,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27518,17807.11,Cary,27518
22-09361661,SOLAR PV SYSTEM,2022-07-07,2022-06-21,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-08-18,0,11400,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27526,12848.17,Apex,27523
22-09371884,SOLAR PV SYSTEM,,2022-06-22,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2023-10-30,0,13600,TRIANGLE SWIMMING POOL COMPANY,GENERAL CONTRACTOR,27520,27519,15327.64,Cary,27519
22-09381662,SOLAR PV STORAGE,2022-07-12,2022-06-24,PERMIT ISSUED (PI),TC,Permit Issued,2022-07-12,0,7200,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27523,8114.63,Apex,27523
22-09391728,SOLAR PV SYSTEM,,2022-06-27,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2022-09-22,0,10000,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,11270.32,Cary,27519
22-09401757,SOLAR PV SYSTEM,2022-09-15,2022-06-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-23,0,5700,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27511,6424.08,Cary,27511
22-09411688,SOLAR PV SYSTEM,2022-07-12,2022-06-28,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-09,0,8600,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,9692.48,Cary,27519
22-09421128,SOLAR PV SYSTEM,2022-07-20,2022-06-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-24,0,12500,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,14087.9,Cary,27519
22-09431689,SOLAR PV SYSTEM,2022-07-21,2022-06-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-10,0,10000,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,11270.32,Cary,27519
22-09440869,SOLAR PV SYSTEM,2022-07-28,2022-06-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-01-23,0,26460,GAF ENERGY LLC,GENERAL CONTRACTOR,94903,27519,29821.27,Cary,27519
22-09451219,SOLAR PV SYSTEM,2022-07-12,2022-06-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-04,0,14410,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27523,16240.53,Apex,27523
22-09461474,SOLAR PANELS,2022-09-19,2022-07-05,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-22,0,32000,SOLAR TYME,GENERAL CONTRACTOR,23237,27519,36069.29,Cary,27519
22-09471556,SOLAR PV SYSTEM,2022-07-15,2022-07-06,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-16,0,34892,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,39329.05,Cary,27519
22-09481729,SOLAR PV SYSTEM,2022-07-21,2022-07-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-16,0,32000,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27513,36069.29,Cary,27513
22-09491771,SOLAR PV SYSTEM,2022-07-22,2022-07-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-09,388,10000,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,11271.65,Cary,27519
22-09501061,SOLAR PV SYSTEM,2022-07-21,2022-07-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-06,0,13052,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,14711.76,Cary,27519
22-09511327,SOLAR PV SYSTEM,2022-07-26,2022-07-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-06,0,16525,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,18626.41,Cary,27519
22-09520494,SOLAR PV SYSTEM,2022-10-13,2022-07-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-04-06,0,29065,"MARC JONES CONSTRUCTION, LLC",GENERAL CONTRACTOR,70433,27539,32761.06,Apex,27539
22-09530639,SOLAR PV SYSTEM,,2022-07-12,ADMINISTRATIVELY CLOSED (AC),TC,Permit Cancelled,2022-10-31,0,15811,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27513,17821.61,Cary,27513
22-09541018,SOLAR PV SYSTEM,2022-07-20,2022-07-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-25,0,64650,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,72871.23,Cary,27519
22-09551220,SOLAR PV SYSTEM,2022-07-20,2022-07-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-15,0,14147,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,15946.01,Cary,27519
22-09561478,SOLAR PV SYSTEM,2022-07-20,2022-07-12,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-09-06,0,21831,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,24607.14,Cary,27519
22-09571019,SOLAR PV SYSTEM,2022-08-17,2022-07-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-23,0,38775,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,43705.83,Cary,27513
22-09581976,SOLAR PV SYSTEM,,2022-07-14,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2022-09-06,0,6300,,,,27513,7101.14,Cary,27513
22-09591479,SOLAR PV SYSTEM,2022-07-27,2022-07-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-08-30,0,22948,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27511,25866.19,Cary,27511
22-09600429,SOLAR PV SYSTEM,,2022-07-19,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2023-02-15,0,24500,8M SOLAR,GENERAL CONTRACTOR,27587,27513,27615.55,Cary,27513
22-09610710,Solar PV System,2022-08-31,2022-07-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-02,0,41133,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27513,46363.69,Cary,27513
22-09621772,SOLAR PV SYSTEM,2022-08-07,2022-07-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-03-06,0,21500,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,24234.05,Cary,27519
22-09631930,SOLAR PANEL,2022-10-17,2022-07-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-02,0,41588,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27518,46876.55,Cary,27518
22-09641328,SOLAR PV SYSTEM,2022-07-27,2022-07-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-13,0,15899,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,17920.8,Cary,27519
22-09651943,SOLAR PANELS,2022-08-26,2022-07-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-01,480,24540,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,27660.63,Cary,27519
22-09660108,SOLAR PV SYSTEM,2022-07-27,2022-07-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-24,0,25250,8M SOLAR,GENERAL CONTRACTOR,27587,27513,28460.92,Cary,27513
22-09670374,SOLAR PV SYSTEM,2022-08-02,2022-07-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-03,0,30050,8M SOLAR,GENERAL CONTRACTOR,27587,27519,33871.31,Cary,27519
22-09681521,Solar PV System,2022-08-10,2022-07-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-16,0,41224,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,46466.26,Cary,27519
22-09691875,SOLAR PV SYSTEM,2022-08-24,2022-07-22,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-09-30,0,26737,TOP TIER SOLAR SOLUTIONS 87345,GENERAL CONTRACTOR,29016,27519,30137.02,Cary,27519
22-09701493,Solar PV System,2022-08-09,2022-07-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-26,0,23816,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27539,26844.57,Apex,27539
22-09711730,SOLAR PV SYSTEM,2022-12-28,2022-07-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-02-09,0,8600,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,9693.62,Cary,27519
22-09721927,Solar PV System,2022-09-21,2022-07-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-30,320,35943,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,40513.7,Cary,27519
22-09730839,SOLAR PV SYSTEM,2022-10-21,2022-08-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-04-13,0,19200,FLUENT SOLAR LLC,UNLICENSED CONTRACTOR,84062,27519,21649.24,Cary,27519
22-09741542,SOLAR PV SYSTEM,2022-08-23,2022-08-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-29,0,27891,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,31448.91,Cary,27519
22-09750029,SOLAR PV SYSTEM,2022-08-10,2022-08-03,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-09-21,0,22400,8M SOLAR,GENERAL CONTRACTOR,27587,27519,25257.45,Cary,27519
22-09760151,Solar PV System,2022-08-10,2022-08-03,PERMIT ISSUED (PI),TC,Permit Issued,2022-08-10,0,30000,8M SOLAR,GENERAL CONTRACTOR,27616,27519,33826.94,Cary,27519
22-09770224,SOLAR PV SYSTEM,2022-08-19,2022-08-03,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-28,0,41300,8M SOLAR,GENERAL CONTRACTOR,27587,27519,46568.43,Cary,27519
22-09780497,Solar PV System,2023-03-28,2022-08-03,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-04-14,0,47272,ALPHA CONTRACTING LLC,GENERAL CONTRACTOR,27529,27513,53302.24,Cary,27513
22-09791221,SOLAR PANELS,2022-08-18,2022-08-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-15,0,20861,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,23522.13,Cary,27519
22-09801222,SOALR PANELS,2022-08-18,2022-08-05,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-13,0,14147,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,15951.66,Cary,27519
22-09811288,SOLAR PANELS,2022-08-25,2022-08-05,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-13,0,22828,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,25740.05,Cary,27519
22-09821475,SOLAR PANELS,2022-09-13,2022-08-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2024-02-09,0,85026,SOLARED LLC,GENERAL CONTRACTOR,27613,27606,95872.33,Raleigh,27606
22-09831962,SOLAR PV SYSTEM,,2022-08-11,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2023-10-31,0,40683,,,,27519,45872.72,Cary,27519
22-09841151,SOLAR PV SYSTEM,2022-09-08,2022-08-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-16,0,18899,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27523,21309.85,Apex,27523
22-09850152,SOLAR PV SYSTEM,2022-08-19,2022-08-15,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-11-04,0,23400,8M SOLAR,GENERAL CONTRACTOR,27616,27523,26385.02,Apex,27523
22-09860662,SOLAR PV SYSTEM,2022-09-30,2022-08-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-05,0,25137,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,28343.6,Cary,27519
22-09870190,SOLAR PV SYSTEM,2022-08-19,2022-08-16,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-07,0,46400,8M SOLAR,GENERAL CONTRACTOR,27587,27518,52319.01,Cary,27518
22-09881329,SOLAR PV SYSTEM,2022-08-23,2022-08-16,PERMIT ISSUED (PI),TC,Permit Issued,2022-08-23,0,18170,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27607,20487.85,Cary,27519
22-09890109,SOLAR PV SYSTEM,2022-10-13,2022-08-17,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-28,0,40900,8M SOLAR,GENERAL CONTRACTOR,27587,27519,46117.4,Cary,27519
22-09900375,SOLAR PV SYSTEM,2022-08-29,2022-08-17,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-30,0,20500,8M SOLAR,GENERAL CONTRACTOR,27587,27511,23115.08,Cary,27511
22-09911731,SOLAR PV SYSTEM,2023-03-27,2022-08-17,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-03-31,0,11900,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,13418.02,Cary,27519
22-09920030,SOLAR PANELS,2022-08-30,2022-08-18,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-30,0,29248,8M SOLAR,GENERAL CONTRACTOR,27587,27519,32979.02,Cary,27519
22-09930515,SOLAR PV SYSTEM,2022-11-21,2022-08-19,PERMIT ISSUED (PI),TC,Permit Issued,2022-11-21,0,30056,ALPHA CONTRACTING LLC,GENERAL CONTRACTOR,27529,27519,33890.09,Cary,27519
22-09941395,SOLAR PV SYSTEM,2022-09-19,2022-08-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-03-13,0,26000,PALMETTO SOLAR LLC,GENERAL CONTRACTOR,29405,27511,29316.69,Cary,27511
22-09950031,Solar PV System & NEMA 14-50 Outlet Installation,2022-09-07,2022-08-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-27,0,16800,8M SOLAR,GENERAL CONTRACTOR,27587,27513,18943.09,Cary,27513
22-09961020,SOLAR PV SYSTEM,2022-11-29,2022-08-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-30,0,47150,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,53164.68,Cary,27519
22-09971152,SOLAR PV SYSTEM,2022-08-30,2022-08-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-19,0,13315,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,15013.53,Cary,27519
22-09981919,SOLAR PV SYSTEM,2022-09-19,2022-08-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-27,0,21753,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,24527.92,Cary,27519
22-09991936,Solar PV System,2022-10-04,2022-08-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-07,660,31741,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27518,35790.03,Cary,27518
22-10001432,SOLAR PANELS,2022-11-07,2022-08-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-01-04,0,18615,PURE ENERGY LLC,GENERAL CONTRACTOR,85284,27511,20989.62,Cary,27511
22-10010153,SOLAR PV SYSTEM,2022-09-13,2022-08-26,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-10-14,0,23520,8M SOLAR,GENERAL CONTRACTOR,27587,27523,26520.32,Apex,27523
22-10021091,SOLAR PV SYSTEM,2022-10-11,2022-08-26,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-25,0,20471,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,23082.38,Cary,27519
22-10030510,SOLAR PV SYSTEM,2022-10-18,2022-08-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-24,0,30991,ALPHA CONTRACTING LLC,GENERAL CONTRACTOR,27529,27519,34944.36,Cary,27519
22-10040640,SOLAR PV SYSTEM,2022-09-26,2022-08-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-09,0,21337,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,24058.85,Cary,27519
22-10051758,SOLAR PV SYSTEM,2022-09-24,2022-08-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-03-17,0,11400,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,12854.24,Cary,27519
22-10061129,Solar PV System,2022-10-19,2022-08-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2024-10-24,418,22547,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27523,25423.2,Apex,27523
22-10071223,SOLAR PV SYSTEM,2022-09-21,2022-08-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-02,0,24960,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27523,28144.02,Apex,27523
22-10081365,SOLAR PV SYSTEM,2022-12-14,2022-08-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-03-02,0,58000,NEXUS ENERGY SYSTEMS LLC,GENERAL CONTRACTOR,92806,27518,65398.76,Cary,27518
22-10091366,SOLAR PV SYSTEM,2023-02-07,2022-08-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-03-02,0,77000,NEXUS ENERGY SYSTEMS LLC,GENERAL CONTRACTOR,92806,27518,86822.49,Cary,27518
22-10101759,SOLAR PV SYSTEM,2022-09-21,2022-08-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-04,0,11400,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,12854.24,Cary,27519
22-10111799,SOLAR PANELS,2022-11-10,2022-08-30,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-11-21,0,9600,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27519,10824.62,Cary,27519
22-10120655,SOLAR PV SYSTEM,2022-09-30,2022-08-31,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-25,0,17599,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,19844.01,Cary,27519
22-10131021,SOLAR PV SYSTEM,2022-09-09,2022-09-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-16,0,20900,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,23515.53,Cary,27519
22-10141092,Solar PV System,2022-09-21,2022-09-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-21,304,20300,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,22840.44,Cary,27519
22-10150032,SOLAR PV SYSTEM,2022-09-23,2022-09-06,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-18,0,20350,8M SOLAR,GENERAL CONTRACTOR,27587,27518,22896.7,Cary,27518
22-10161760,SOLAR PV SYSTEM,2022-10-27,2022-09-07,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-06,0,11400,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,12826.65,Cary,27519
22-10171093,Solar PV System,2022-10-21,2022-09-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-03,380,18396,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27511,20698.17,Cary,27511
22-10181435,SOLAR PV SYSTEM,2022-09-22,2022-09-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-01-11,0,99783,"READY ROOFING, LLC",GENERAL CONTRACTOR,27520,27511,112270.33,Cary,27511
22-10191330,SOLAR PANELS,2022-10-18,2022-09-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-20,0,16961,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27523,19083.58,Apex,27523
22-10201711,SOLAR PV SYSTEM,2023-05-30,2022-09-12,PERMIT ISSUED (PI),TC,Permit Issued,2023-05-30,0,17300,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,19465.01,Cary,27519
22-10211289,SOLAR PANELS,2022-10-18,2022-09-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-10-24,494,40285,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27560,45326.46,Morrisville,27560
22-10221773,SOLAR PV SYSTEM,2022-11-15,2022-09-13,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2023-02-09,0,16700,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,18789.92,Cary,27519
22-10231805,SOLAR PANELS,2023-04-14,2022-09-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-04-26,0,24000,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27519,27003.48,Cary,27519
22-10240500,SOLAR PV SYSTEM,2022-09-21,2022-09-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-11-10,0,32273,ALPHA CONTRACTING LLC,GENERAL CONTRACTOR,27529,27519,36311.8,Cary,27519
22-10250653,SOLAR PV SYSTEM,2022-10-05,2022-09-14,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-10-27,0,27696,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,31162.01,Cary,27519
22-10260858,SOLAR PV SYSTEM,2022-12-06,2022-09-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-16,0,47759,FREEDOM SOLAR POWER,UNLICENSED CONTRACTOR,78744,27513,53735.79,Cary,27513
22-10271638,SOLAR PV SYSTEM,2022-10-05,2022-09-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-16,0,27300,SUSTAINABLE LIGHTING SOLUTIONS,GENERAL CONTRACTOR,29456,27518,30716.46,Cary,27518
