permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
21-06170539,SOLAR PV SYSTEM,2021-09-13,2021-06-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-11-03,0,10875,"BELLO SOLAR ENERGY, LLC",GENERAL CONTRACTOR,84097,27513,13366.88,Cary,27513
21-06180746,SOLAR PV SYSTEM,2021-06-22,2021-06-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-19,0,36964,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,45433.87,Cary,27519
21-06191077,SOLAR PV SYSTEM,2021-06-09,2021-06-03,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-16,0,13916,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,17104.69,Cary,27519
21-06201740,SOLAR PV SYSTEM,,2021-06-03,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2022-05-25,0,9710,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27539,11934.93,Apex,27539
21-06210534,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-27,2021-06-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-01-19,0,21750,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27519,26733.76,Cary,27519
21-06220363,SOLAR PV SYSTEM,2021-06-16,2021-06-07,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-13,0,17739,8M SOLAR,GENERAL CONTRACTOR,27587,27513,21803.69,Cary,27513
21-06230531,SOLAR PANELS ON RESIDENTIAL ROOF,,2021-06-07,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2022-11-21,0,8156,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27519,10024.85,Cary,27519
21-06240659,SOLAR PV SYSTEM,2022-08-15,2021-06-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-09-13,0,5277,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,6486.16,Cary,27519
21-06250893,SOLAR PANELS ON RESIDENTIAL ROOF,2021-09-14,2021-06-08,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-04-14,4045,53225,"MARC JONES CONSTRUCTION, LLC",GENERAL CONTRACTOR,70433,27519,65420.89,Cary,27519
21-06261011,SOLAR PV SYSTEM,2021-07-14,2021-06-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-19,0,14076,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,17301.35,Cary,27519
